GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
parking-system,com.parkit.parkingsystem.service,FareCalculatorService,5,96,2,5,1,20,2,4,0,2
parking-system,com.parkit.parkingsystem.service,ReducCalaculator,0,37,0,4,0,11,0,5,0,3
parking-system,com.parkit.parkingsystem.service,ParkingService,37,214,5,6,12,56,5,8,0,7
parking-system,com.parkit.parkingsystem.service,InteractiveShell,72,0,6,0,28,0,8,0,4,0
parking-system,com.parkit.parkingsystem,App,12,0,0,0,5,0,3,0,3,0
parking-system,com.parkit.parkingsystem.model,ParkingSpot,37,25,8,0,9,10,8,5,4,5
parking-system,com.parkit.parkingsystem.model,Ticket,0,45,0,0,0,19,0,13,0,13
parking-system,com.parkit.parkingsystem.constants,Fare,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.constants,ParkingType,0,24,0,0,0,3,0,1,0,1
parking-system,com.parkit.parkingsystem.constants,DBConstants,3,0,0,0,1,0,1,0,1,0
parking-system,com.parkit.parkingsystem.dao,ClientDAO,7,53,1,1,2,16,1,3,0,3
parking-system,com.parkit.parkingsystem.dao,TicketDAO,57,194,2,2,7,46,2,5,0,5
parking-system,com.parkit.parkingsystem.dao,ParkingSpotDAO,15,98,2,2,5,26,2,4,0,4
parking-system,com.parkit.parkingsystem.util,InputReaderUtil,45,9,4,0,15,2,5,1,3,1
parking-system,com.parkit.parkingsystem.config,DataBaseConfig,24,52,4,2,11,19,4,5,1,5
